,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,BIAS6,OBV,PSY12,SY,ASY(5),ASY(4),ASY(3),ASY(2),ASY(1),CI(3),CI(2),CI(1)
0,2010-06-29,3.7999999523162837,5.0,3.507999897003174,4.777999877929688,93831500,0,0.0,,,0.0,,,,,,,,,,
1,2010-06-30,5.1579999923706055,6.084000110626222,4.6599998474121085,4.765999794006348,85935500,0,0.0,,,-85935500.0,,-0.25146879001525235,,,,,,,,4.777999877929688
2,2010-07-01,5.0,5.184000015258789,4.053999900817871,4.392000198364259,41094000,0,0.0,,,-127029500.0,,-8.172258608292049,,,,,-0.25146879001525235,,4.777999877929688,4.765999794006348
3,2010-07-02,4.599999904632568,4.619999885559082,3.742000102996826,3.839999914169312,25699000,0,0.0,,,-152728500.0,,-13.431240512423903,,,,-4.211863699153651,-8.172258608292049,4.777999877929688,4.765999794006348,4.392000198364259
4,2010-07-06,4.0,4.0,3.1659998893737797,3.2219998836517334,34334500,0,0.0,,,-187063000.0,,-17.547009560368476,,,-7.284989303577068,-10.801749560357976,-13.431240512423903,4.765999794006348,4.392000198364259,3.839999914169312
5,2010-07-07,3.2799999713897705,3.325999975204468,2.996000051498413,3.1600000858306885,34608500,0,0.0,4.199599933624268,,-221671500.0,,-1.9430193883778202,,-9.85049436777492,-13.050169560361475,-15.489125036396189,-17.547009560368476,4.392000198364259,3.839999914169312,3.2219998836517334
6,2010-07-08,3.2279999256134038,3.503999948501587,3.114000082015991,3.492000102996826,38557000,0,0.0,3.8759999752044676,-46.34220310887803,-183114500.0,,9.990261271200662,-8.2689993718955,-10.273382017365561,-10.973756487056733,-9.745014474373148,-1.9430193883778202,3.839999914169312,3.2219998836517334,3.1600000858306885
7,2010-07-09,3.5160000324249268,3.5799999237060547,3.309999942779541,3.4800000190734863,20253000,0,0.0,3.6212000370025637,-30.308497608804046,-203367500.0,,-0.3442368205167412,-6.220653359652317,-5.732752047492385,-3.166589225848545,4.023620941411421,9.990261271200662,3.2219998836517334,3.1600000858306885,3.492000102996826
8,2010-07-12,3.5899999141693115,3.614000082015991,3.400000095367432,3.4100000858306885,11012500,0,0.0,3.438800001144409,-17.78772815797936,-214380000.0,,-2.031998280155478,-4.655049002097256,-2.461001124515594,2.5676683541020338,4.8230122253419605,-0.3442368205167412,3.1600000858306885,3.492000102996826,3.4800000190734863
9,2010-07-13,3.4779999256134038,3.7279999256134033,3.380000114440918,3.628000020980835,13400500,0,0.0,3.3528000354766845,20.495981994828945,-200979500.0,,6.196922157020568,-2.3752005556435707,1.4177516955376557,2.538008723509481,-1.1881175503361097,-2.031998280155478,3.492000102996826,3.4800000190734863,3.4100000858306885
10,2010-07-14,3.588000059127808,4.0300002098083505,3.5520000457763667,3.9679999351501465,20976000,0,0.0,3.4340000629425047,66.47060276365403,-180003500.0,,8.958063504349646,2.373585787834238,3.4527370818872525,1.2735623521161161,2.082461938432545,6.196922157020568,3.4800000190734863,3.4100000858306885,3.628000020980835
11,2010-07-15,3.98799991607666,4.300000190734863,3.7999999523162837,3.9779999256134033,18699000,0,0.0,3.5956000328063964,51.37636909424395,-161304500.0,,0.25169886528668695,4.553802366379731,3.1946876401744984,4.3743291270715785,7.577492830685107,8.958063504349646,3.4100000858306885,3.628000020980835,3.9679999351501465
12,2010-07-16,4.139999866485597,4.260000228881837,4.010000228881837,4.127999782562257,13106500,0,0.0,3.692799997329712,52.86905440707107,-148198000.0,33.33333333333333,3.701381377310442,2.606089885196936,3.3436715616253556,5.135561508885634,4.604881184818167,0.25169886528668695,3.628000020980835,3.9679999351501465,3.9779999256134033
13,2010-07-19,4.274000167846681,4.449999809265137,4.184000015258788,4.381999969482422,12432500,0,0.0,3.822399950027466,71.76611305622977,-135765500.0,41.66666666666667,5.971225870358277,3.415213524762373,4.777016475991836,4.303714582315592,1.9765401212985645,3.701381377310442,3.9679999351501465,3.9779999256134033,4.127999782562257
14,2010-07-20,4.369999885559082,4.369999885559082,4.010000228881837,4.059999942779541,9126500,0,0.0,4.0167999267578125,14.965351736019453,-144892000.0,50.0,-7.632227468903907,5.015858354865124,4.720592404326263,3.308102037651802,4.836303623834359,5.971225870358277,3.9779999256134033,4.127999782562257,4.381999969482422
15,2010-07-21,4.131999969482422,4.179999828338623,3.900000095367432,4.044000148773193,6262500,0,0.0,4.103199911117554,2.0099625105745624,-151154500.0,50.0,-0.3948621573084399,2.2500284296802286,0.5730196610128746,0.6801265929216038,-0.8305007992728153,-7.632227468903907,4.127999782562257,4.381999969482422,4.059999942779541
16,2010-07-22,4.099999904632568,4.25,4.073999881744385,4.199999809265137,4789000,0,0.0,4.118399953842163,10.944610527083828,-146365500.0,50.0,3.7850141929411274,0.37944329734861154,0.4113794053640927,-0.6852879186180237,-4.013544813106174,-0.3948621573084399,4.381999969482422,4.059999942779541,4.044000148773193
17,2010-07-23,4.23799991607666,4.311999797821045,4.2119998931884775,4.257999897003174,3268000,0,0.0,4.162799930572509,12.984217248921048,-143097500.0,58.333333333333336,1.371506240601339,1.0861063628794998,0.43228760927176424,-1.41402514442374,1.6950760178163438,3.7850141929411274,4.059999942779541,4.044000148773193,4.199999809265137
18,2010-07-26,4.300000190734863,4.300000190734863,4.059999942779541,4.190000057220459,4611000,0,0.0,4.188799953460693,1.1364204434884153,-147708500.0,58.333333333333336,-1.6098794691791873,0.6201313355376792,-0.7176422981674702,1.587219425411342,2.578260216771233,1.371506240601339,4.044000148773193,4.199999809265137,4.257999897003174
19,2010-07-27,4.182000160217285,4.236000061035156,4.052000045776366,4.110000133514403,3098500,0,0.0,4.150399971008301,-7.750998898762573,-150807000.0,58.333333333333336,-1.92776865970814,-0.8960897323698136,0.7879447017637098,1.1822136547877597,-0.11918661428892419,-1.6098794691791873,4.199999809265137,4.257999897003174,4.190000057220459
20,2010-07-28,4.110000133514403,4.179999828338623,4.102000236511231,4.144000053405762,2336000,0,0.0,4.160400009155273,0.03334154700270817,-148471000.0,58.333333333333336,0.8238456851273446,0.24480202946933982,0.40471807616378475,-0.7220472960953295,-1.7688240644436637,-1.92776865970814,4.257999897003174,4.190000057220459,4.110000133514403
21,2010-07-29,4.15399980545044,4.176000118255615,4.0,4.070000171661377,3080000,0,0.0,4.180399990081787,-8.581801865960676,-151551000.0,58.333333333333336,-1.8018476212927403,0.4885435979564967,-0.33557405078966096,-0.904600814586661,-0.5519614872903977,0.8238456851273446,4.190000057220459,4.110000133514403,4.144000053405762
22,2010-07-30,4.0399999618530265,4.0879998207092285,3.910000085830689,3.98799991607666,2134500,0,0.0,4.154400062561035,-16.672570827189638,-153685500.0,50.0,-2.0353210576120384,-0.6288287648902768,-1.1289125162631808,-0.9685901986245119,-0.4890009680826979,-1.8018476212927403,4.110000133514403,4.144000053405762,4.070000171661377
23,2010-08-02,4.099999904632568,4.193999767303467,4.065999984741212,4.184000015258788,3590500,0,0.0,4.100400066375732,5.812986338284169,-150095000.0,41.66666666666667,4.797789935393482,-1.3101942245329523,-1.2352729133713936,-1.0044409979258113,-1.9185843394523894,-2.0353210576120384,4.144000053405762,4.070000171661377,3.98799991607666
24,2010-08-03,4.199999809265137,4.389999866485597,4.1640000343322745,4.389999866485597,6152500,0,0.0,4.099200057983398,29.413654040179548,-143942500.0,41.66666666666667,4.806146626421626,-0.028660343618418516,0.44611673540401187,0.3202070854962343,1.3812344388907216,4.797789935393482,4.070000171661377,3.98799991607666,4.184000015258788
25,2010-08-04,4.389999866485597,4.435999870300293,4.170000076293944,4.251999855041504,4565000,0,0.0,4.155200004577637,10.695762795639013,-148507500.0,41.66666666666667,-3.1939770285913216,1.3181227136075346,1.4416919707275822,2.522871834734356,4.801968280907554,4.806146626421626,3.98799991607666,4.184000015258788,4.389999866485597
26,2010-08-05,4.308000087738037,4.309999942779541,4.010000228881837,4.0900001525878915,3981000,0,0.0,4.176799964904785,-7.974731662230609,-152488500.0,41.66666666666667,-3.8844419025600097,0.5145581708638014,1.0936596189029368,2.136653177741262,0.8060847989151521,-3.1939770285913216,4.184000015258788,4.389999866485597,4.251999855041504
27,2010-08-06,4.019999980926514,4.0320000648498535,3.9040000438690186,3.9179999828338623,3709500,0,0.0,4.180799961090088,-22.999072210956058,-156198000.0,41.66666666666667,-4.296369222126573,0.09803931461034754,0.631379407665944,-0.7574241015765685,-3.5392094655756656,-3.8844419025600097,4.389999866485597,4.251999855041504,4.0900001525878915
28,2010-08-09,3.9800000190734863,3.996000051498413,3.890000104904175,3.920000076293945,4063500,0,0.0,4.1667999744415285,-20.561749732124714,-152134500.0,33.33333333333333,0.051035812411526216,-0.3541703182925591,-1.6421603817140693,-3.7915960510926343,-4.090405562343291,-4.296369222126573,4.251999855041504,4.0900001525878915,3.9179999828338623
29,2010-08-10,3.9300000667572017,3.9300000667572017,3.763999938964844,3.8059999942779537,6406500,0,0.0,4.11399998664856,-29.48981150067705,-158541000.0,33.33333333333333,-2.951290589458222,-1.3035211428889504,-2.8309380852165944,-2.709925104091685,-2.122666704857523,0.051035812411526216,4.0900001525878915,3.9179999828338623,3.920000076293945
30,2010-08-11,3.73799991607666,3.776000022888184,3.5699999332427983,3.5799999237060547,3988000,0,0.0,3.9972000122070312,-42.532331757458394,-162529000.0,33.33333333333333,-6.121598826907904,-2.85500858606492,-2.7702664754333197,-2.3988746663910896,-1.4501273885233479,-2.951290589458222,3.9179999828338623,3.920000076293945,3.8059999942779537
31,2010-08-12,3.559999942779541,3.5799999237060547,3.4779999256134038,3.5199999809265137,3455000,0,0.0,3.8628000259399413,-36.53534884173044,-165984000.0,33.33333333333333,-1.6901794910049173,-3.4405329457282363,-3.329555706520293,-3.0072845346515336,-4.536444708183063,-6.121598826907904,3.920000076293945,3.8059999942779537,3.5799999237060547
