,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,MA5,BIAS6,OBV,PSY12,SY,ASY(5),ASY(4),ASY(3),ASY(2),ASY(1),CI(3),CI(2),CI(1)
21,2019-05-20,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
22,2019-05-21,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
23,2019-05-22,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
24,2019-05-23,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
25,2019-05-24,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
26,2019-05-28,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
27,2019-05-29,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
28,2019-05-30,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
29,2019-05-31,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
30,2019-06-03,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
31,2019-06-04,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
32,2019-06-05,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
33,2019-06-06,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
34,2019-06-07,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
35,2019-06-10,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
36,2019-06-11,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
37,2019-06-12,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
38,2019-06-13,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
39,2019-06-14,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
40,2019-06-17,9.8100004196167,9.8100004196167,9.8100004196167,9.8100004196167,0,0,0,9.8100004196167,0.0,-200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8100004196167,9.8100004196167,9.8100004196167
